id,site_addr,addr_str,addr_num,addr_zip,latitude,longitude,fips
F_674829_2990724,75 DRUMMER RD REAR,DRUMMER RD REAR,75,01720,42.45467778232662,-71.43084669211667,250173631043000
F_668546_2992616,113 MAIN STREET-BESIDE,MAIN STREET-BESIDE,113,01720,42.45988103535687,-71.45412458340428,250173631043010
F_668388_2992643,1 MAPLE STREET,MAPLE STREET,1,01720,42.45995535471801,-71.45471004764275,250173632013028
F_668156_2992640,1 MAPLE ST,MAPLE ST,1,01720,42.45994745756711,-71.45556980146843,250173632013028
F_669291_2992765,5 RIVER ST REAR,RIVER ST REAR,5,01720,42.460288756937246,-71.45136344305904,250173631041041
F_669110_2992759,5 RIVER ST,RIVER ST,5,01720,42.46027257426066,-71.45203421078801,250173631041041
F_679759_2995417,323 SCHOOL ST,SCHOOL ST,323,01720,42.46754289172794,-71.41256075300102,250173631042051
F_678449_2995885,316 SCHOOL ST,SCHOOL ST,316,01720,42.46883065750225,-71.41741426700519,250173631042049
F_677177_2996021,96 MASS AV,MASS AV,96,01720,42.46920712184783,-71.42212825894634,250173631042049
F_676400_2996129,68  HOSMER ST,HOSMER ST,68,01720,42.46950538224163,-71.42500774290404,250173631042049
F_676751_2996857,MASS AV,MASS AV,nan,01720,42.47150214527582,-71.42370439353049,250173631042032
F_676248_2996980,135 MASS AV,MASS AV,135,01720,42.471840874172166,-71.4255683587744,250173631042032
F_677253_2996833,99 MASS AV,MASS AV,99,01720,42.471435042631406,-71.42184381852688,250173631042032
F_676097_2996956,60 HOSMER ST,HOSMER ST,60,01720,42.47177537888739,-71.42612811839226,250173631042032
F_680885_2996801,66 WETHERBEE ST REAR,WETHERBEE ST REAR,66,01720,42.47133731695677,-71.40838200122323,250173631021023
F_681117_2996874,25 KEEFE RD BEHIND,KEEFE RD BEHIND,25,01720,42.471536940387885,-71.40752180525423,250173631021025
F_680308_2996723,58 WETHERBEE ST,WETHERBEE ST,58,01720,42.47112496739495,-71.41052094168934,250173631042043
F_670985_2997470,332 MASS AV,MASS AV,332,01720,42.47319637444868,-71.44507453970465,250173631041007
F_670750_2998742,349 MAIN ST REAR,MAIN ST REAR,349,01720,42.47668712517796,-71.44594259967941,250173631044007
F_668852_3000242,68 HAYWARD RD,HAYWARD RD,68,01720,42.48080617275741,-71.4529750263191,250173632021014
F_669132_3000187,66 HAYWARD RD,HAYWARD RD,66,01720,42.48065482598377,-71.45193717161737,250173632021014
